work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Executive,Full-time,Business Intelligence,230000,USD,230000.0,UNITED STATES,In-person,United States,M,BI and Visualization
2024,Executive,Full-time,Business Intelligence,176900,USD,176900.0,UNITED STATES,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Insight Analyst,50000,USD,50000.0,UNITED STATES,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Insight Analyst,40000,USD,40000.0,UNITED STATES,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,276000,USD,276000.0,UNITED STATES,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,148000,USD,148000.0,UNITED STATES,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Research Scientist,234000,USD,234000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,146000,USD,146000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Business Intelligence Analyst,192300,USD,192300.0,UNITED STATES,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Business Intelligence Analyst,120200,USD,120200.0,UNITED STATES,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Analytics Engineer,132500,USD,132500.0,UNITED STATES,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Analytics Engineer,111500,USD,111500.0,UNITED STATES,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Data Engineer,234000,USD,234000.0,UNITED STATES,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,146000,USD,146000.0,UNITED STATES,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,322000,USD,322000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,168000,USD,168000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,138000,USD,138000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,86000,USD,86000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,268700,USD,268700.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,130300,USD,130300.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Analyst,115000,USD,115000.0,UNITED STATES,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,105000,USD,105000.0,UNITED STATES,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Business Intelligence Engineer,156476,USD,156476.0,UNITED STATES,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Business Intelligence Engineer,104981,USD,104981.0,UNITED STATES,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Engineer,146000,USD,146000.0,UNITED STATES,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,110000,USD,110000.0,UNITED STATES,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,297000,USD,297000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,138000,USD,138000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Quality Engineer,190000,USD,190000.0,UNITED STATES,In-person,United States,M,Data Quality and Operations
2024,Senior,Full-time,Data Quality Engineer,25000,USD,25000.0,UNITED STATES,In-person,United States,M,Data Quality and Operations
2024,Mid-level,Full-time,Machine Learning Engineer,160480,USD,160480.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Machine Learning Engineer,109920,USD,109920.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Engineer,224000,USD,224000.0,UNITED STATES,In-person,United States,M,Data Engineering
